project,num_downloads,month
scirpy,2171,2023-05-01
scvi-tools,16052,2023-05-01
spatialdata,2257,2023-05-01
spatialdata-io,709,2023-05-01
spatialdata-plot,389,2023-05-01
squidpy,2580,2023-05-01
anndata,74646,2023-04-01
mudata,13555,2023-04-01
muon,2517,2023-04-01
napari-spatialdata,3825,2023-04-01
rapids-singlecell,820,2023-04-01
scanpy,50629,2023-04-01
scirpy,2465,2023-04-01
scvi-tools,17276,2023-04-01
spatialdata,60,2023-04-01
squidpy,2283,2023-04-01
anndata,74827,2023-03-01
mudata,14637,2023-03-01
muon,2837,2023-03-01
napari-spatialdata,3865,2023-03-01
rapids-singlecell,550,2023-03-01
scanpy,58748,2023-03-01
scirpy,1967,2023-03-01
scvi-tools,15027,2023-03-01
spatialdata,71,2023-03-01
squidpy,2703,2023-03-01
anndata,70182,2023-02-01
mudata,13927,2023-02-01
muon,2820,2023-02-01
napari-spatialdata,3720,2023-02-01
rapids-singlecell,975,2023-02-01
scanpy,51817,2023-02-01
scirpy,2483,2023-02-01
scvi-tools,14442,2023-02-01
spatialdata,61,2023-02-01
squidpy,4348,2023-02-01
anndata,69596,2023-01-01
mudata,10879,2023-01-01
muon,1761,2023-01-01
napari-spatialdata,4118,2023-01-01
rapids-singlecell,422,2023-01-01
scanpy,52392,2023-01-01
scirpy,2244,2023-01-01
scvi-tools,13118,2023-01-01
spatialdata,39,2023-01-01
squidpy,2572,2023-01-01
anndata,49806,2022-12-01
mudata,11402,2022-12-01
muon,1794,2022-12-01
napari-spatialdata,4238,2022-12-01
scanpy,35009,2022-12-01
scirpy,1303,2022-12-01
scvi-tools,6858,2022-12-01
spatialdata,76,2022-12-01
squidpy,1801,2022-12-01
anndata,59898,2022-11-01
mudata,9731,2022-11-01
muon,2687,2022-11-01
napari-spatialdata,3911,2022-11-01
scanpy,40483,2022-11-01
scirpy,1905,2022-11-01
scvi-tools,10855,2022-11-01
spatialdata,107,2022-11-01
squidpy,2213,2022-11-01
anndata,51760,2022-10-01
mudata,10504,2022-10-01
muon,3965,2022-10-01
napari-spatialdata,3429,2022-10-01
scanpy,38515,2022-10-01
scirpy,2105,2022-10-01
scvi-tools,10656,2022-10-01
spatialdata,108,2022-10-01
squidpy,2297,2022-10-01
anndata,54031,2022-09-01
mudata,13936,2022-09-01
muon,6727,2022-09-01
napari-spatialdata,3482,2022-09-01
scanpy,43036,2022-09-01
scirpy,1828,2022-09-01
scvi-tools,8963,2022-09-01
spatialdata,70,2022-09-01
squidpy,2374,2022-09-01
anndata,46488,2022-08-01
mudata,6779,2022-08-01
muon,3311,2022-08-01
