project,num_downloads,week
mofapy2,38,2019-10-07
anndata,2783,2019-09-30
mofapy2,33,2019-09-30
anndata,1782,2019-09-23
mofapy2,43,2019-09-23
anndata,2297,2019-09-16
mofapy2,46,2019-09-16
anndata,2649,2019-09-09
mofapy2,44,2019-09-09
anndata,2529,2019-09-02
mofapy2,44,2019-09-02
anndata,1842,2019-08-26
mofapy2,29,2019-08-26
anndata,2048,2019-08-19
mofapy2,37,2019-08-19
anndata,1914,2019-08-12
mofapy2,39,2019-08-12
anndata,2479,2019-08-05
mofapy2,57,2019-08-05
anndata,2977,2019-07-29
mofapy2,61,2019-07-29
anndata,2443,2019-07-22
mofapy2,80,2019-07-22
anndata,2342,2019-07-15
mofapy2,343,2019-07-15
anndata,3275,2019-07-08
